,순위,책이름,저자,줄거리
35,36,오셀로,윌리엄 셰익스피어,"셰익스피어 4대 비극 중 하나. 기존에 수많은 번역본들이 있지만, 이번 번역은 셰익스피어 전공자인 역자가 원문의 운문 형식을 최대한 살려 번역했다는 점에 의의가 있다. 역자는 원문의 리듬을 최대한 살리는 형식을 취하되, 현대 무대 대본에 알맞은 어휘를 선택했다고 한다. 실재와 겉모습 사이의 격차가 이 작품의 가장 중요한 주제를 형성하고 있으며 이와 더불어 신뢰와 명예, 가부장적인 정치 상황과 인종 문제 등 많은 주제와 다양한 해석을 함축하고 있다."
36,37,"베로니카, 죽기로 결심하다",파울로 코엘료,"세계적 밀리언셀러 작가, '소설의 연금술사'로 불리는 파울로 코엘료의 신작 소설. 매마른 일상에 빠져 인생의 꿈을 잃어버린 베로니카는 삶을 버리고자 결심한다. 그러나 네 병의 수면제를 들이키고 다시 눈을 뜬 곳은 정신병원 '빌레트'. 그곳에서 그녀는 세상에서는 만날 수 없는 '다른' 사람들을 만나게 된다. 일주일 남짓한 생의 시간 속에서, 그리고 자신이 선택한 죽음과 선택치 않은 죽음 사이에서 사랑을 알게 되고, 생을 빛으로 채우기 시작하는데.. 명성에 걸맞는 열정이 깃든 시적인 문체로 생의 드라마을 이끄는, 작가의 능력이 돋보이는 소설이다."
37,38,로드,코맥 매카시,"거장의 귀환…매카시를 모른다면 미국 현대문학을 논하지 말라!2006년 9월, 코맥 매카시는 묵시록적 비전으로 가득한 신작 [로드]를 들고 돌아왔다. 그야말로 거장의 귀환이었다. 대재앙 이후의 지구를 배경으로 길을 떠나는 아버지와 아들의 이야기를 그린 이 작품에 평단과 언론은 일제히 찬사를 보냈다. 단순한 찬사가 아니었다. [스타 레저]는 “이 작품을 통해 매카시는 완전히 새로운 단계에 올라섰다”고 평했고, [뉴스위크]는 “매카시의 모든 작품 중 정점에 올라 있는 작품”이라 평했다. [퍼블리셔스 위클리]는 “이 작품을 통해 매카시는 미국문학에서 구약성서적 예언자 같은 존재로 태어났다”고 평가했다. 그리고 그해 연말, [로드]는 각종 언론에서 선정하는 ‘올해의 소설’에 이름을 올렸다. 이어 스티븐 킹, 데니스 .."
38,39,삼대,염상섭,"한국 현대 문학이 이 땅에서 출발한지 반세기. 이제 문학과지성사가 그 역사를 정리해본다. '살아 있는 동시대의 문학으로 읽는 새로운 한국문학전집'이라는 타이틀에 걸맞게 김동인과 염상섭 등 한국 근 ·현대사의 명작들이 새롭게 태어났다. 기존의 문학전집에서 소홀히 다루어진 작가들을 포함시켰으며, 각 작가의 대표작 뿐만 아니라 숨겨진 수작을 발굴하고자 하였다. 또한 창작 당시의 오류를 수정하거나 수차례의 개작을 거친 내용을 충실히 반영하는 등 작품 원본을 토대로 엄밀하게 텍스트를 확정했다. 해당 편집자들의 꼼꼼한 주석과 현대어 맞춤법과 띄어쓰기로의 변환작업은 작품의 이해를 돕는다. 뿐만 아니라 특정 독자층만을 대상으로 한 것이 아니기 때문에 중 ·고등학생부터 대학생, 일반인에 이르기까지 한국 문학에 관심을 가진 .."
39,40,태평천하,채만식,"우리 현대 문학 100년의 역사를 새롭게 정리하고 원본 및 연재본을 일일이 대조하여 그간의 오류를 수정하는 등 원전 텍스트를 확정한 '한국문학전집' 시리즈. 현대식 맞춤법과 띄어쓰기를 적용시킴으로써 오늘의 독자들에게 우리 문학의 고전을 동시대의 작품처럼 신선하게 맛볼 수 있게 하자는 취지에서 간행되었다.　<태평천하>는 부정적 현상들이 난무하는 시대 현실을 독자적인 문학적 기법과 비판의식으로 그려냄으로써 '문학적 미'를 추구했던 채만식의 대표적 성과물이다. 1937년 9월 어느 날의 석양 무렵부터 다음 날 점심 때까지를 담고 있는 이 소설은 잘못된 역사의 현장인 한말과 일제강점 시대를 부정하려는 저자의 의도를 담고 있다.　윤 직원 가문 5대 곧 용규로부터 두섭, 창식, 종수, 경손에 이르기까지 다 .."
40,41,빌리 밀리건,대니얼 키스,"내 몸과 마음속에 24명의 '다른 사람'이 살고 있다면?1977년 납치와 강간 혐의로 기소됐다가 다중인격장애와 정신이상으로 무죄 혐의를 받은 '빌리 밀리건'의 일대기를 소설 형식으로 구성한 논픽션. <앨저넌에게 꽃을>의 작가 다니엘 키스가 집필했으며, 인간 정신, 인격, 자아에 관한 전혀 새로운 지평을 열어젖힌 '현대 심리학의 고전'으로 평가받았다. 현재 2008년 개봉을 목표로 '베트맨 시리즈'의 조엘 슈마허 감독이 영화 제작 중이다.어렸을 때 양부로부터 성적 학대에 시달린 빌리 밀리건. 그는 고통스런 상황에서 벗어나기 위해 양부를 죽이는 게 삶의 목표인 에이프릴, 육체파 행동주의자 레이건, 마약에 찌든 절도범 케빈, 영국 신사 아서, 사기꾼 앨런, 애정에 굶주린 레즈비언 에이들라나, 3세의 영.."
41,42,난중일기,이순신,"이순신이 임진왜란의 한복판에서 써내려간 고뇌와 결단의 기록 <난중일기>. 이 책에서는 많이 듣고 배워왔던 '영웅 이순신'의 모습이 아닌 '인간 이순신'을 모습을 부각하고 있다. 이순신은 단순히 군사를 호령하고 함대를 이끌고 왜적을 쳐부순 무패의 장수가 아니었다. 그는 부하였던 이의 궁핍한 사정에 기꺼이 옷을 벗어 주고, 아들의 죽음에 오열하고, 부하가 다른 장수를 욕하는 것에 귀 기울이기도 하고, 오랜 싸움에 몸져눕기도 하는 인간이었다. 이순신이 남긴 짧은 문장과 서정적인 시구를 통해 그의 인간적인 면모를 다양하게 살펴볼 수 있다."
42,43,포스트맨은 벨을 두 번 울린다,제임스 M. 케인,"어두운 현실을 있는 그대로 그려 낸 '느와르 소설'의 창시자, 제임스 M. 케인의 데뷔작. 모순으로 가득한 미국 사회 이면의 욕정과 탐욕을 냉정하게 그려낸 미국 하드보일드 문학의 대표작으로 손꼽힌다. 알베르 카뮈는 데뷔작이자 대표작 '이방인'(1942)을 이 소설에서 영감을 받아서 쓴 것이라고 밝힌 바 있다.오갈 데 없는 떠돌이로인 프랭크는 작은 간이식당에 들어가 대책 없이 음식을 주문을 한다. 그 곳 주인 닉은 그에게 함께 일하자고 제안하고, 망설이던 프랭크는 젊고 매력적인 안주인 코라를 보고 제안을 받아들인다. 첫눈에 서로에게 이끌린 프랭크와 안주인 코라는 닉의 눈을 피해 밀회를 즐긴다. 닉의 눈치를 봐야만 하는 생활이 성에 차지 않자, 둘은 아무 방해를 받지 않기 위해 닉을 없애 버릴 계획을 짜는데…."
43,44,안네의 일기,안네 프랑크,"전쟁과 사춘기의 한복판에 서 있었던 소녀, 안네 프랑크!안네의 일기 무삭제 완역판 『안네의 일기』. 제2차 세계대전 속에서 사춘기를 고민하고 전쟁의 참상을 기록한 유대인 소녀의 일기다. 제2차 세계대전이 한창이던 1942년, 열세 살이던 소녀 안네 프랑크는 가족, 동료들과 함께 독일 나치의 유대인 박해를 피해 은신처에 숨어 지내는 생활을 시작한다. 은신처라는 특수한 환경과 사춘기라는 보편적인 상황 속에서 안네가 겪어야 했던 다양한 고민과 감정이 솔직하고 재치 있게 담겨 있다."
44,45,젊은 예술가의 초상,제임스 조이스,"유년기에서 청년기에 이르는 스티븐 디덜러스라는 한 젊은 예술가의 정치적·종교적·지적 편력과 가정, 종교, 국가를 초탈한 그가 예술가로서의 포부를 실현하기 위해 결국에는 자기 유배의 길을 떠나는 성장과정을 그린 20세기 모더니즘 문학을 이끈 작가 제임스 조이스의 자전적 교양소설이다."
45,46,동백꽃,김유정,"우리 현대 문학 100년의 역사를 새롭게 정리하고 우리 문학의 고전을 동시대의 작품처럼 읽을 수 있는 기회를 선사하기 위해 기획된 '한국문학전집' 시리즈 열네 번째 책.　 당시의 고단한 삶을 수용하는 순박한 사람들로부터 사기꾼에 이르기까지 다양한 삶의 양태와 다양한 삶의 현장을 문학 속에 그대로 재현한 김유정의 단편 23편을 수록하였다. 데뷔작인 「소낙비」를 비롯하여 노다지를 찾으려고 콩밭을 파헤치는 인간의 어리석은 욕망을 그린 「금 따는 콩밭」, 머슴인 데릴사위와 장인 사이의 희극적인 갈등을 소박하면서도 유머러스한 필치로 그린 「봄봄」등, 인물의 토속성과 해학성, 생생한 삶의 언어가 충만한 김유정 문학의 정수를 만날 수 있다."
46,47,아Q정전 광인일기,루쉰,"힘없고 비겁한 날품팔이 최하층민 아Q. 모욕을 당하면 자기보다 약한 자를 찾아 분풀이하고, 그것이 안 되면 그 모욕을 머릿속에서 정신적 승리로 바꿔버리는 아Q는 대중을 압제하는 지배 계급에 대항하기보다는 대중끼리 서로 싸우고 박해하는 현대인의 속물 근성을 연상시킨다. 신해혁명 시기에 도둑으로 몰려서 허망한 최후를 맞는 아Q의 행적과 마을의 지주를 대조적으로 묘사한 이 소설은 당시 몽매한 중국 민중에게 봉건성의 극복과 혁명의 허구성을 널리 알린 중국 현대 문학의 대표작이다."
47,48,엄청나게 시끄럽고 믿을 수 없게 가까운,조너선 사프란 포어,"드라마 '아이리스'에서 이병헌이 '마음을 치료하는 책'으로 소개하며 화제가 된 그 책!아마추어 발명가이자 탬버린 연주자이며, 셰익스피어의 연극배우, 보석세공사이면서 평화주의자인 오스카는 아홉 살이다. 그리고 그는 뉴욕 구석구석을 뒤져야 하는 매우 긴급하고도 비밀스러운 탐색을 수행 중이다. 그의 임무는 9.11 세계무역센터 폭파 사건 때 세상을 떠난 아버지의 유품 속에 있던 열쇠의 정체를 밝혀내는 것이다. 수사를 계속하는 과정에서 오스카는 저마다 슬픔을 가진 다양한 사람들과 만나게 된다. 그리고 오스카의 이야기는 사라져버린 그의 할아버지와 오랜 세월을 고독과 싸우며 살아온 할머니의 이야기와 한데 얽히면서, 상실과 소통 불능, 기억 그리고 치유에 관한 보다 커다란 이야기로 나아간다.�.."
48,49,달의 궁전,폴 오스터,"'삶의 현실과 비현실의 훌륭한 혼합'이라는 평을 받는 이 책은, 자신의 삶을 극단으로 몰아감으로써 인생을 배워 나가는 세 탐구자의 초상을 그려낸 멋진 소설이다.혼잡한 현대도시에서 황량한 변경에 이르기까지, 미국 전역을 배경으로 주인공 3대의 개인사가 펼쳐진다. 그들 모두는 이지러졌다가 다시 차는 달처럼 성공과 퇴락의 길을 걸으며 성장의 방법을 발견한다."
49,50,매디슨 카운티의 다리,로버트 제임스 월러,"4일의 추억, 22년의 그리움 1백만 한국 독자를 뭉클하게 했던 단 하나의 사랑이야기젊은 시절 꿈을 가슴 한 켠에 묻어둔 채, 한 남자의 아내이자 두 아이의 어머니로 평범하게 살아가던 프란체스카. 남편과 아이들이 박람회 견학 겸 짧은 여행을 떠난 사이, 모처럼의 휴식을 맞이한 그녀에게 생각지도 못했던 운명의 사랑이 찾아온다. 물 빠진 청바지와 낡은 레드윙 부츠, 손 때 묻은 니콘 카메라와 카멜 담배, 낡은 픽업트럭……. 오래된 다리의 사진을 찍겠다며 아이오와 주 시골 마을, 고립된 낡은 도로 같던 그녀의 삶에 불쑥 모습을 드러낸 남자, 로버트 킨케이드. 머물지 못하는 바람 같던 그의 인생에도 처음으로 놓치고 싶지 않은 이가 생겼고, 프란체스카는 다시 춤을 추고 싶어졌다. 그도 그녀도 더 이상 젊지 않고, 첫.."
50,51,주홍글씨,나다니엘 호손,"미국 낭만주의 문학의 선구자, 너새니얼 호손의 대표작!19세기 미국의 대표적인 작가 너새니얼 호손의 장편소설. 소설은 헤스터와 딤스데일, 칠링워스 세 사람을 통해 죄악이 그들의 인생을 어떻게 파멸과 구원의 길로 이끌어 가는지 보여 준다. 이를 통해 인간 영혼의 어두운 본성과 19세기 청교도 사회의 불안전성, 개인과 사회에 내재한 나약함을 날카로운 통찰력으로 형상화하고 있다. 17세기 미국 보스턴. 순수하고 신성한 유토피아를 꿈꾸는 이 청교도 마을에서 '간음하지 말라' 라는 일곱 번째 십계명을 어긴 죄인으로, 헤스터는 '간통(Adultery)'을 상징하는 글자 'A'를 평생 가슴에 달고 살아야 하는 형벌을 받는다. 사람들의 경멸에도 죄악의 징표인 'A'를 주홍빛 천으로 만들어 그 둘레에 금실로 화려하게 수를 .."
51,52,내가 죽어 누워 있을 때,윌리엄 포크너,"20세기 미국 현대 문학을 대표하는 작가 윌리엄 포크너의 문제작. 미국 남부의 농촌 마을을 배경으로, 한 시골 아낙의 죽음과 그녀의 가족이 겪는 슬프면서도 기묘한 장례 여행을 통해 삶과 죽음, 선과 악, 운명과 욕망에 대한 무거운 성찰을 담고 있는 포크너의 초기 걸작 중 하나이다. 포크너는 미시시피에서 일생을 보내며 이 지역을 거의 모든 자기 작품의 배경으로 삼았다. ‘요크나파토파’라는 가상의 마을을 설정하고, 이곳에서 남부인의 몰락해 가는 운명과 정서를 심도 깊게 파헤친 그의 작품은 흔히 요크나파토파 연작이라고 불릴 정도로 이 지역의 자연과 전통 사회의 탐구에 집중되어 있다. 이 작품 또한 남부의 뿌리 깊은 지방색을 짙게 드러낸다. 그러면서도 일개 보고문학이나 세태소설에 그치지 않고 시공간을 초월한 보편적.."
